name,latitude,longitude,planning area
"100 AM","1.27458821795427","103.84347073660999","Bukit Merah"
"112 KATONG","1.30508681845447","103.905098915055","Marine Parade"
"313@SOMERSET","1.3013851021471399","103.837684350436","Orchard"
"321 CLEMENTI","1.3120249182444","103.764960537008","Clementi"
"600 @ TOA PAYOH","1.33404171129957","103.850955458676","Toa Payoh"
"888 PLAZA","1.4371305244487","103.795289911954","Woodlands"
"AMK HUB","1.36922321403002","103.848467911464","Ang Mo Kio"
"ADMIRALTY PLACE","1.43988095490574","103.80179101959499","Woodlands"
"ALEXANDRA RETAIL CENTRE","1.2738426388845099","103.801375038176","Queenstown"
"ANCHORPOINT","1.28893477974498","103.805607779399","Queenstown"
"APERIA","1.3097424203235601","103.864101647509","Kallang"
"BALESTIER HILL SHOPPING CENTRE","1.32612416875662","103.843709493566","Novena"
"BEAUTY WORLD CENTRE","1.3424126418864297","103.776539385678","Bukit Timah"
"BEAUTY WORLD PLAZA","1.34178799847022","103.776304121109","Bukit Timah"
"BEDOK MALL","1.3246689739690902","103.92940545649","Bedok"
"BEDOK POINT","1.32480102552269","103.932384005117","Bedok"
"BIG BOX","1.33183269839976","103.744879157153","Jurong East"
"BUGIS CUBE","1.29819500487879","103.855655544739","Rochor"
"BUGIS JUNCTION","1.3001178934309399","103.85619157165199","Rochor"
"BUGIS+","1.30075921013125","103.855204142122","Rochor"
"BUKIT PANJANG PLAZA","1.3799165066522399","103.76431706853501","Bukit Panjang"
"CAPITOL PIAZZA","1.2930633587734799","103.851293463737","Downtown Core"
"CATHAY CINELEISURE ORCHARD","1.30149743442988","103.836444792111","Orchard"
"CAUSEWAY POINT","1.43608867729913","103.78600997367799","Woodlands"
"CENTURY SQUARE","1.3523611314355002","103.94378481243099","Tampines"
"CHANGE ALLEY","1.28412271103558","103.852544637414","Downtown Core"
"CHANGI AIRPORT","1.3563414213584501","103.989276642386","Changi"
"CHANGI CITY POINT","1.3340363790270802","103.96291761553101","Changi"
"CHINATOWN POINT","1.28526073702918","103.844942912343","Outram"
"CITY SQUARE MALL","1.3114774495223402","103.85678076298599","Kallang"
"CITYLINK MALL","1.2923786067095901","103.85466296886801","Downtown Core"
"CLEMENTI MALL","1.3155535427795","103.76459643930401","Clementi"
"COMPASS ONE","1.3920941559405202","103.89498002538299","Sengkang"
"DAWSON PLACE","1.29270252655149","103.81097183537399","Queenstown"
"DEPOT HEIGHTS SHOPPING CENTRE","1.2808649386093","103.81014259576901","Bukit Merah"
"DJITSUN MALL","1.3260531991057098","103.929604640137","Ang Mo Kio"
"DOWNTOWN EAST","1.3777758420954298","103.95477359288999","Pasir Ris"
"DUO","1.29921662121833","103.857996795149","Rochor"
"ERA APAC CENTRE","1.3316765687873","103.849383935394","Toa Payoh"
"EASTPOINT MALL","1.3425864408894","103.95307233895399","Simei"
"ELIAS MALL","1.3778287661646598","103.942364336974","Pasir Ris"
"ESPLANADE MALL","1.28950956232932","103.855665761542","Downtown Core"
"FAIRPRICE HUB","1.3256176410229599","103.67841055156299","Jurong West"
"FAJAR SHOPPING CENTRE","1.3840058246629598","103.771029603101","Bukit Panjang"
"FAR EAST PLAZA","1.30731112598869","103.833939963454","Orchard"
"FERNVALE POINT","1.3963155184234","103.881167324822","Sengkang"
"FORUM THE SHOPPING MALL","1.3061252256071698","103.82867554961001","Orchard"
"FU LU SHOU COMPLEX","1.30145299324793","103.854495182879","Rochor"
"FUNAN","1.29133889451297","103.850146834511","Downtown Core"
"FUNAN DIGITALIFE MALL","1.29130707593559","103.850083606052","Downtown Core"
"GEK POH SHOPPING CENTRE","1.34874423181248","103.69829841817699","Jurong West"
"GOLDEN MILE COMPLEX","1.30285776289789","103.865284424819","Kallang"
"GREAT WORLD CITY","1.29315492907011","103.831928020443","River Valley"
"GREENRIDGE SHOPPING CENTRE","1.38541768689997","103.766235457752","Bukit Panjang"
"GREENWICH V","1.38760330190636","103.869423629864","Seletar"
"HDB HUB","1.33218812037255","103.847077797948","Toa Payoh"
"HARBOURFRONT CENTRE","1.2637968288533101","103.82021904559299","Bukit Merah"
"HEARTLAND MALL","1.35954177325562","103.885167372726","Hougang"
"HILLV2","1.3635509577068001","103.76423610633002","Bukit Batok"
"HILLION MALL","1.3784310082758702","103.762842789877","Bukit Panjang"
"HOLLAND ROAD SHOPPING CENTRE","1.31025541912227","103.795350439947","Bukit Timah"
"HOUGANG 1","1.3756672834841202","103.87945025083","Hougang"
"HOUGANG MALL","1.37243678271745","103.893723857613","Hougang"
"IMM","1.33491758755438","103.74687713286801","Jurong East"
"ION ORCHARD","1.3040425340698","103.831888294023","Orchard"
"INTERNATIONAL PLAZA","1.27601222585223","103.84589784359301","Downtown Core"
"JCUBE","1.33323785085839","103.740191321438","Jurong East"
"JEM","1.33305451930724","103.743433746954","Jurong East"
"JEWEL CHANGI AIRPORT","1.36033174518933","103.989670344538","Changi"
"JUNCTION 10","1.38060512473526","103.760041583169","Bukit Panjang"
"JUNCTION 8","1.3502394308637","103.848477625201","Bishan"
"JUNCTION NINE","1.43303198215121","103.841600823354","Yishun"
"JURONG POINT","1.3394520043632099","103.706685012926","Jurong West"
"KINEX","1.31469213499496","103.894480526031","Geylang"
"KALLANG WAVE MALL","1.30384327182322","103.87275070166099","Kallang"
"KATONG SHOPPING CENTRE","1.3038204018374","103.901040040135","Marine Parade"
"LEISURE PARK KALLANG","1.30233745290723","103.87644917595199","Kallang"
"LIANG COURT","1.29149019892639","103.84466893511299","Singapore River"
"LIAT TOWERS","1.30510759038419","103.83072791506201","Orchard"
"LIMBANG SHOPPING CENTRE","1.39224240572061","103.743190998187","Choa Chu Kang"
"LOT ONE","1.385069923256","103.745238868238","Choa Chu Kang"
"LOYANG POINT","1.366453640104","103.964598499523","Pasir Ris"
"LUCKY PLAZA","1.304463789747","103.834005158524","Orchard"
"MANDARIN GALLERY","1.302004717320","103.836583965806","Orchard"
"MARINA BAY FINANCIAL CENTRE TOWER 3","1.279124882895","103.854457000196","Downtown Core"
"MARINA BAY LINK MALL","1.280467943317","103.853470148580","Downtown Core"
"MARINA BAY SANDS","1.283994101392","103.859450636919","Marina South"
"MARINA ONE","1.277041689779","103.853401872618","Downtown Core"
"MARINA SQUARE","1.291039802568","103.857623532359","Downtown Core"
"MILLENIA WALK","1.292046053021","103.859900233499","Downtown Core"
"NEX","1.350675521203","103.871861615443","Serangoon"
"NGEE ANN CITY","1.302424171894","103.834676124723","Orchard"
"NORTHPOINT CITY","1.427999959952","103.836142028836","Yishun"
"NORTHSHORE PLAZA","1.416849810947","103.902136847120","Punggol"
"NOVENA SQUARE","1.319343281265","103.844177088816","Novena"
"OASIS TERRACES","1.402634600563","103.913270565628","Punggol"
"ONE RAFFLES PLACE","1.284339943203","103.850982346718","Downtown Core"
"ORCHARD CENTRAL","1.300723503567","103.839692368177","Orchard"
"ORCHARD GATEWAY","1.300443252795","103.839442780042","Orchard"
"ORCHARD MIDPOINT","1.301783781955","103.838660627347","Orchard"
"ORCHARD PLAZA","1.301265330348","103.841151770727","Orchard"
"ORCHARD SHOPPING CENTRE","1.301484997627","103.837888299130","Orchard"
"ORCHARD TOWERS","1.306846152993","103.829217749325","Orchard"
"OUR TAMPINES HUB","1.353101202163","103.940848647333","Tampines"
"PLQ MALL","1.317482310584","103.892832205276","Geylang"
"PALAIS RENAISSANCE","1.306654845432","103.829588045188","Orchard"
"PARAGON SHOPPING CENTRE","1.303723217393","103.835240308455","Orchard"
"PARKWAY PARADE","1.301080033115","103.905281814450","Marine Parade"
"PASIR RIS WEST PLAZA","1.379767543171","103.936207567321","Pasir Ris"
"PAYA LEBAR SQUARE","1.318675756230","103.892550598424","Geylang"
"PENINSULA PLAZA","1.292322484149","103.850804507292","Downtown Core"
"PEOPLE'S PARK CENTRE","1.285757742352","103.843929820315","Outram"
"PEOPLE'S PARK COMPLEX","1.284128626364","103.842584810783","Outram"
"PIONEER MALL","1.341591087258","103.697020081587","Jurong West"
"PLAZA SINGAPURA","1.300820717692","103.845067272666","Museum"
"POMO","1.300075569146","103.849285599308","Rochor"
"PUNGGOL PLAZA","1.394184094383","103.912976437583","Punggol"
"QUEENSWAY SHOPPING CENTRE","1.287617925587","103.803391140455","Queenstown"
"RAFFLES CITY SHOPPING CENTRE","1.293893578633","103.853119904656","Downtown Core"
"RIVERVALE MALL","1.392217326678","103.904473070943","Sengkang"
"RIVERVALE PLAZA","1.385371516087","103.901849634797","Sengkang"
"ROCHESTER MALL","1.305317926896","103.788523947609","Queenstown"
"SCOTTS SQUARE","1.305762924359","103.833083381860","Orchard"
"SELETAR MALL","1.391393061269","103.876067655130","Sengkang"
"SEMBAWANG SHOPPING CENTRE","1.441853253468","103.824832416105","Sembawang"
"SERANGOON PLAZA","1.310780751901","103.855146819671","Serangoon"
"SIM LIM SQUARE","1.3030229851526298","103.852875622062","Rochor"
"SIM LIM TOWER","1.3038113301821002","103.85463996092899","Rochor"
"SINGAPORE SHOPPING CENTRE","1.2981321476693501","103.84413837480899","Museum"
"SOUTH BEACH","1.2947409482015502","103.856000621324","Downtown Core"
"SQUARE 2","1.32061258625869","103.844331494859","Novena"
"STAMFORD HOUSE","1.29409146652973","103.850821336975","Downtown Core"
"SUN PLAZA","1.44822653818276","103.81946210281201","Sembawang"
"SUNSHINE PLACE","1.37789727654677","103.73901548629298","Choa Chu Kang"
"SUNTEC CITY","1.2954667558967499","103.858585026016","Downtown Core"
"TAMAN JURONG SHOPPING CENTRE","1.3348448747126","103.72046202427799","Jurong West"
"TAMPINES 1","1.35432321225806","103.945141172369","Tampines"
"TAMPINES MALL","1.3525802519703898","103.94469623008301","Tampines"
"TANG PLAZA","1.30483283007133","103.83323668385201","Orchard"
"TANGLIN MALL","1.30485342129478","103.823883490852","Tanglin"
"TANGS","1.30495005564844","103.832971130126","Orchard"
"TANJONG PAGAR CENTRE","1.2766095282693","103.846180785876","Downtown Core"
"TEKKA CENTRE","1.3061777304808002","103.85060998548599","Rochor"
"THE CATHAY","1.29920226381605","103.847832003713","Museum"
"THE CENTREPOINT","1.30197804548976","103.839758893141","Orchard"
"THE CLEMENTI MALL","1.31549675427513","103.764570204717","Clementi"
"THE CONCOURSE","1.30085584996949","103.86246592865999","Kallang"
"THE MAJESTIC","1.28473141234248","103.843203365359","Outram"
"THE PARAGON","1.3039493635530102","103.83584422762699","Orchard"
"THE SELETAR MALL","1.3913930612689498","103.87606765513","Sengkang"
"THE SHOPPES AT MARINA BAY SANDS","1.28423491318867","103.85898223619101","Marina South"
"THE SOUTH BEACH","1.2949880439206","103.856276242094","Downtown Core"
"THE STAR VISTA","1.3069704403832","103.788420274115","Queenstown"
"THE WOODLEIGH MALL","1.3387306641557","103.871670008464","Toa Payoh"
"THOMSON PLAZA","1.3543252420924","103.830328102928","Bishan"
"TIONG BAHRU PLAZA","1.2864711999273","103.827158267789","Bukit Merah"
"UPPER SERANGOON SHOPPING CENTRE","1.3534808832613","103.878828409594","Hougang"
"VELOCITY","1.3197894920453","103.844033569199","Novena"
"VISTA POINT","1.4307576563374","103.793852610387","Woodlands"
"VIVOCITY","1.2643946806726","103.821808620881","Bukit Merah"
"WATERWAY POINT","1.4064261628995","103.902238067127","Punggol"
"WEST COAST PLAZA","1.303742582872","103.766092882107","Clementi"
"WEST MALL","1.3501891656051","103.749021976618","Bukit Batok"
"WESTGATE","1.3342831304954","103.742870105512","Jurong East"
