Name,Latitude,Longitude,Planning Area
ADMIRALTY MRT STATION,1.44058500109,103.800988001,Woodlands
ALJUNIED MRT STATION,1.31643261166,103.882906045,Geylang
ANG MO KIO MRT STATION,1.36993317524,103.849558131,Ang Mo Kio
BARTLEY MRT STATION,1.34250117776,103.880177899,Toa Payoh
BAYFRONT MRT STATION,1.28187378849,103.859079765,Downtown Core
BAYSHORE MRT STATION,1.31259162908,103.940968762,Bedok
BEAUTY WORLD MRT STATION,1.34122317571,103.775794285,Bukit Timah
BEDOK MRT STATION,1.32397996889,103.929984495,Bedok
BEDOK NORTH MRT STATION,1.33474211676,103.91797833,Bedok
BEDOK RESERVOIR MRT STATION,1.33660782981,103.932234624,Bedok
BEDOK SOUTH MRT STATION,1.31688894033,103.949065273,Bedok
BENCOOLEN MRT STATION,1.29891843393,103.850353762,Museum
BENDEMEER MRT STATION,1.31367223254,103.862977987,Kallang
BISHAN MRT STATION,1.35130868012,103.849154419,Bishan
BOON KENG MRT STATION,1.31933570911,103.861569454,Kallang
BOON LAY MRT STATION,1.3386040545,103.706064623,Jurong West
BOTANIC GARDENS MRT STATION,1.3224880711,103.816013994,Tanglin
BRADDELL MRT STATION,1.34010520725,103.846755921,Bishan
BRAS BASAH MRT STATION,1.29686168653,103.850667372,Museum
BRIGHT HILL MRT STATION,1.36367137584,103.833631645,Bishan
BUANGKOK MRT STATION,1.38287785815,103.893121565,Sengkang
BUGIS MRT STATION,1.3002646898,103.855614761,Rochor
BUKIT BATOK MRT STATION,1.34903410858,103.749566764,Bukit Batok
BUKIT BROWN MRT STATION,1.33372888323,103.83068955,Novena
BUKIT GOMBAK MRT STATION,1.35861159108,103.751790911,Bukit Batok
BUKIT PANJANG MRT STATION,1.37900211672,103.761535115,Choa Chu Kang
BUONA VISTA MRT STATION,1.30663450449,103.790709404,Queenstown
CALDECOTT MRT STATION,1.33767450804,103.839529821,Novena
CANBERRA MRT STATION,1.44324371648,103.829578144,Sembawang
CASHEW MRT STATION,1.36981544888,103.764439214,Bukit Panjang
CHANGI AIRPORT MRT STATION,1.35747897469,103.98788357,Changi
CHINATOWN MRT STATION,1.28435957823,103.843426776,Outram
CHINESE GARDEN MRT STATION,1.34235282087,103.732596738,Jurong East
CHOA CHU KANG MRT STATION,1.38536316535,103.74437078,Choa Chu Kang
CITY HALL MRT STATION,1.29293624285,103.852585892,Museum
CLARKE QUAY MRT STATION,1.2883860242,103.846555209,Singapore Flyer
CLEMENTI MRT STATION,1.31520126395,103.765182447,Clementi
COMMONWEALTH MRT STATION,1.30250853671,103.798226128,Queenstown
DAKOTA MRT STATION,1.30854798428,103.889064718,Marine Parade
DHOBY GHAUT MRT STATION,1.29870130663,103.846115155,Museum
DOVER MRT STATION,1.31140529293,103.778637842,Clementi
DOWNTOWN MRT STATION,1.27944619038,103.852840444,Downtown Core
ESPLANADE MRT STATION,1.2936577248,103.855081226,Downtown Core
EUNOS MRT STATION,1.3198383468,103.903626852,Geylang
